username,last_saved,run,topics,user_select,show_voided,sort_by_shot,ascending,null_shots_first,auto_update,auto_scroll,scroll_top,max_rows,fontsize,show_test,GUID,id
terry,4/14/05,1140618,"('GPI','PHYSICS_OPERATOR','PO_SUMMARY','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",terry,N,-1,0,0,-1,-1,-1,80,3,Y,{B37927CC-D951-E711-ABE8-0050568A3DF0},{B37927CC-D951-E711-ABE8-0050568A3DF0}
djohnson,4/14/05,1160930,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DAQ_ERRORS','DATA_STORAGE','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_MONITOR','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",,N,0,0,0,-1,0,-1,160,2,Y,{B47927CC-D951-E711-ABE8-0050568A3DF0},{B47927CC-D951-E711-ABE8-0050568A3DF0}
parker,4/20/05,1160930,"('PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','SESSION_LEADER','SL_PLAN')",,N,-1,-1,-1,-1,-1,0,80,2,Y,{B57927CC-D951-E711-ABE8-0050568A3DF0},{B57927CC-D951-E711-ABE8-0050568A3DF0}
bose,4/21/05,1070830,"('RF','RF_MONITOR')",ME,N,0,0,0,-1,0,0,320,2,Y,{B67927CC-D951-E711-ABE8-0050568A3DF0},{B67927CC-D951-E711-ABE8-0050568A3DF0}
jwhughes,4/27/05,1160718,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DAQ_ERRORS','DATA_STORAGE','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_MONITOR','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",jwhughes,N,-1,0,-1,-1,-1,-1,320,1,N,{B77927CC-D951-E711-ABE8-0050568A3DF0},{B77927CC-D951-E711-ABE8-0050568A3DF0}
beals,5/5/05,0,"('CXRS','DNB','MHD','MSE','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",ME,N,-1,0,0,-1,-1,-1,320,2,,{B87927CC-D951-E711-ABE8-0050568A3DF0},{B87927CC-D951-E711-ABE8-0050568A3DF0}
vtang,5/20/05,1070817,"('HXR','PHYSICS_OPERATOR','PO_PLAN','SESSION_LEADER','SL_PLAN')",ME,N,-1,-1,0,-1,-1,-1,320,2,,{B97927CC-D951-E711-ABE8-0050568A3DF0},{B97927CC-D951-E711-ABE8-0050568A3DF0}
snipes,5/25/05,1120214,"('MHD','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",ME,N,-1,-1,-1,-1,-1,0,320,3,Y,{BA7927CC-D951-E711-ABE8-0050568A3DF0},{BA7927CC-D951-E711-ABE8-0050568A3DF0}
andreyev,5/26/05,0,"('SESSION_LEADER','PHYSICS_OPERATOR')",ME,N,-1,-1,0,-1,-1,-1,80,1,,{BB7927CC-D951-E711-ABE8-0050568A3DF0},{BB7927CC-D951-E711-ABE8-0050568A3DF0}
dominguez,5/31/05,1101210,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DATA_STORAGE','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",,N,0,0,0,-1,-1,-1,80,3,Y,{BC7927CC-D951-E711-ABE8-0050568A3DF0},{BC7927CC-D951-E711-ABE8-0050568A3DF0}
